|                                    dimensionalCodeFragment                                     |   pattern   |
+------------------------------------------------------------------------------------------------+-------------+
| org.apache.cassandra.batchlog.BatchlogManager.store                                            | compute-app |
| org.apache.cassandra.cql3.ColumnIdentifier.prefixComparison                                    | compute-app |
| org.apache.cassandra.cql3.QueryProcessor.makeInternalOptions                                   | compute-app |
| org.apache.cassandra.cql3.statements.BatchStatement.getMutations                               | compute-app |
| org.apache.cassandra.cql3.statements.ModificationStatement.addUpdates                          | compute-app |
| org.apache.cassandra.cql3.statements.ModificationStatement.buildPartitionKeyNames              | compute-app |
| org.apache.cassandra.cql3.statements.SelectStatement.getQuery                                  | compute-app |
| org.apache.cassandra.cql3.statements.SelectStatement.processPartition                          | compute-app |
| org.apache.cassandra.db.ClusteringComparator.compare                                           | compute-app |
| org.apache.cassandra.db.ColumnFamilyStore.forceFlush                                           | compute-app |
| org.apache.cassandra.db.ColumnFamilyStore.snapshotWithoutFlush                                 | compute-app |
| org.apache.cassandra.db.ColumnFamilyStore.waitForFlushes                                       | compute-app |
| org.apache.cassandra.db.ConsistencyLevel.blockForWrite                                         | compute-app |
| org.apache.cassandra.db.Keyspace.applyInternal                                                 | compute-app |
| org.apache.cassandra.db.Mutation$MutationSerializer.serialize                                  | compute-app |
| org.apache.cassandra.db.compaction.AbstractCompactionStrategy$ScannerList.getTotalBytesScanned | compute-app |
| org.apache.cassandra.db.partitions.AbstractBTreePartition.sliceIterator                        | compute-app |
| org.apache.cassandra.db.partitions.PartitionUpdate.dataSize                                    | compute-app |
| org.apache.cassandra.db.rows.BTreeRow.minDeletionTime                                          | compute-app |
| org.apache.cassandra.db.rows.Cells.reconcile                                                   | compute-app |
| org.apache.cassandra.db.rows.Cells.reconcileComplex                                            | compute-app |
| org.apache.cassandra.db.rows.EncodingStats$Collector.get                                       | compute-app |
| org.apache.cassandra.db.rows.Rows.copy                                                         | compute-app |
| org.apache.cassandra.io.sstable.format.SSTableReader.getApproximateKeyCount                    | compute-app |
| org.apache.cassandra.locator.AbstractReplicaCollection.filter                                  | compute-app |
| org.apache.cassandra.locator.AbstractReplicationStrategy.getAddressReplicas                    | compute-app |
| org.apache.cassandra.locator.AbstractReplicationStrategy.getCachedReplicas                     | compute-app |
| org.apache.cassandra.locator.ReplicaPlans.assureSufficientLiveReplicas                         | compute-app |
| org.apache.cassandra.locator.Replicas.temporaryAssertFull                                      | compute-app |
| org.apache.cassandra.locator.TokenMetadata.cloneOnlyTokenMap                                   | compute-app |
| org.apache.cassandra.locator.TokenMetadata.firstTokenIndex                                     | compute-app |
| org.apache.cassandra.locator.TokenMetadata.getPrimaryRangesFor                                 | compute-app |
| org.apache.cassandra.locator.TokenMetadata.updateNormalTokens                                  | compute-app |
| org.apache.cassandra.metrics.LatencyMetrics.addNano                                            | compute-app |
| org.apache.cassandra.schema.ColumnMetadata.comparisonOrder                                     | compute-app |
| org.apache.cassandra.schema.CompactionParams.equals                                            | compute-app |
| org.apache.cassandra.schema.Schema.getKeyspaceInstance                                         | compute-app |
| org.apache.cassandra.schema.Schema.getTableMetadata                                            | compute-app |
| org.apache.cassandra.schema.Schema.getTableMetadataRef                                         | compute-app |
| org.apache.cassandra.schema.Tables.getNullable                                                 | compute-app |
| org.apache.cassandra.service.StorageProxy.mutateAtomically                                     | compute-app |
| org.apache.cassandra.service.StorageProxy.readRegular                                          | compute-app |
| org.apache.cassandra.service.StorageProxy.sendToHintedReplicas                                 | compute-app |
| org.apache.cassandra.service.StorageProxy.syncWriteBatchedMutations                            | compute-app |
| org.apache.cassandra.service.StorageProxy.updateCoordinatorWriteLatencyTableMetric             | compute-app |
| org.apache.cassandra.triggers.TriggerExecutor.execute                                          | compute-app |
| org.apache.cassandra.utils.SortedBiMultiValMap.create                                          | compute-app |
| org.apache.cassandra.utils.btree.BTree.accumulate                                              | compute-app |
| org.apache.cassandra.utils.btree.BTree.buildInternal                                           | compute-app |
| org.apache.cassandra.utils.btree.BTree.transformAndFilter                                      | compute-app |
| org.apache.cassandra.utils.btree.NodeBuilder.buildFromRange                                    | compute-app |
| org.apache.cassandra.utils.btree.TreeBuilder.newInstance                                       | compute-app |
| org.apache.cassandra.utils.btree.TreeBuilder.update                                            | compute-app |
| org.apache.cassandra.utils.concurrent.OpOrder$Group.unlink                                     | compute-app |
| org.apache.cassandra.utils.vint.VIntCoding.encodeUnsignedVInt                                  | compute-app |
